manifest_id,dataset,business_key,source_row_number,issue_code,rule_category,field_name,notes
DQ-0001,customers,CUST-00001,1,CUST_EMAIL_MISSING,completeness,email,Injected blank email for completeness failure
DQ-0002,customers,CUST-00002,2,CUST_EMAIL_MISSING,completeness,email,Injected blank email for completeness failure
DQ-0003,customers,CUST-00003,3,CUST_EMAIL_MISSING,completeness,email,Injected blank email for completeness failure
DQ-0004,customers,CUST-00004,4,CUST_EMAIL_MISSING,completeness,email,Injected blank email for completeness failure
DQ-0005,customers,CUST-00005,5,CUST_EMAIL_MISSING,completeness,email,Injected blank email for completeness failure
DQ-0006,customers,CUST-00006,6,CUST_EMAIL_MISSING,completeness,email,Injected blank email for completeness failure
DQ-0007,customers,CUST-00007,7,CUST_EMAIL_MISSING,completeness,email,Injected blank email for completeness failure
DQ-0008,customers,CUST-00008,8,CUST_EMAIL_MISSING,completeness,email,Injected blank email for completeness failure
DQ-0009,customers,CUST-00009,9,CUST_EMAIL_MISSING,completeness,email,Injected blank email for completeness failure
DQ-0010,customers,CUST-00010,10,CUST_EMAIL_MISSING,completeness,email,Injected blank email for completeness failure
DQ-0011,customers,CUST-00011,11,CUST_EMAIL_MISSING,completeness,email,Injected blank email for completeness failure
DQ-0012,customers,CUST-00012,12,CUST_EMAIL_MISSING,completeness,email,Injected blank email for completeness failure
DQ-0013,customers,CUST-00013,13,CUST_EMAIL_MISSING,completeness,email,Injected blank email for completeness failure
DQ-0014,customers,CUST-00014,14,CUST_EMAIL_MISSING,completeness,email,Injected blank email for completeness failure
DQ-0015,customers,CUST-00015,15,CUST_EMAIL_MISSING,completeness,email,Injected blank email for completeness failure
DQ-0016,customers,CUST-00016,16,CUST_EMAIL_MISSING,completeness,email,Injected blank email for completeness failure
DQ-0017,customers,CUST-00017,17,CUST_EMAIL_MISSING,completeness,email,Injected blank email for completeness failure
DQ-0018,customers,CUST-00018,18,CUST_EMAIL_MISSING,completeness,email,Injected blank email for completeness failure
DQ-0019,customers,CUST-00019,19,CUST_EMAIL_MISSING,completeness,email,Injected blank email for completeness failure
